object x y z rx ry rz quality dofValue
011_banana -0.0455841 -0.119744 0.0165316 180 0 -95 0.922 0.045
011_banana -0.0522803 -0.120146 0.0165316 180 0 -95 0.832 0.045
011_banana -0.0567444 -0.120414 0.0165316 180 0 -95 0.745 0.045
011_banana -0.0612085 -0.120682 0.0165316 180 0 -95 0.722 0.045
011_banana -0.0656726 -0.12095 0.0165316 180 0 -100 0.701 0.045
011_banana -0.0376734 -0.117255 0.0165316 180 0 -105 0.886 0.045
011_banana -0.0318772 -0.115294 0.0165316 180 0 -107 0.880 0.045
011_banana -0.0285631 -0.113034 0.0165316 180 0 -109 0.880 0.045
011_banana -0.0202636 -0.110552 0.0165316 180 0 -111 0.880 0.045
024_bowl 0.057508 -0.0441 0.0250088 180 0 0 0.6 0.05
024_bowl 0.062508 -0.0181 0.0250088 180 0 20 0.6 0.05
024_bowl 0.077508 0.0048 0.0250088 180 0 30 0.6 0.05
024_bowl 0.097508 0.0191 0.0250088 180 0 60 0.6 0.05
024_bowl 0.117508 0.0251 0.0250088 180 0 80 0.6 0.05
024_bowl 0.137508 0.0191 0.0250088 180 0 100 0.6 0.05
024_bowl 0.157508 0.0191 0.0250088 180 0 120 0.6 0.05
024_bowl 0.177508 0.0048 0.0250088 180 0 140 0.6 0.05
024_bowl 0.192508 -0.0181 0.0250088 180 0 160 0.6 0.05
024_bowl 0.062508 -0.07 0.0250088 180 0 -20 0.6 0.05
024_bowl 0.077508 -0.093 0.0250088 180 0 -30 0.6 0.05
024_bowl 0.097508 -0.1073 0.0250088 180 0 -60 0.6 0.05
024_bowl 0.117508 -0.1133 0.0250088 180 0 -80 0.6 0.05
024_bowl 0.137508 -0.1133 0.0250088 180 0 -100 0.6 0.05
024_bowl 0.157508 -0.1073 0.0250088 180 0 -120 0.6 0.05
024_bowl 0.177508 -0.093 0.0250088 180 0 -140 0.6 0.05
024_bowl 0.192508 -0.07 0.0250088 180 0 -160 0.6 0.05
024_bowl 0.197508 -0.0441 0.0250088 180 0 -180 0.6 0.05
025_mug -0.0662 0.165829 0.0369233 180 0 0 0.6 0.07
025_mug -0.0562 0.195829 0.0369233 180 0 20 0.6 0.07
025_mug -0.0562 0.135829 0.0369233 180 0 -20 0.6 0.07
025_mug -0.0462 0.205829 0.0369233 180 0 40 0.6 0.07
025_mug -0.0462 0.125829 0.0369233 180 0 -40 0.6 0.07
025_mug -0.0362 0.211629 0.0369233 180 0 60 0.6 0.07
025_mug -0.0362 0.120029 0.0369233 180 0 -60 0.6 0.07
025_mug -0.0262 0.214829 0.0369233 180 0 80 0.6 0.07
025_mug -0.0262 0.116829 0.0369233 180 0 -80 0.6 0.07
025_mug -0.0162 0.215829 0.0369233 180 0 100 0.6 0.07
025_mug -0.0162 0.115829 0.0369233 180 0 -100 0.6 0.07
025_mug -0.0062 0.214829 0.0369233 180 0 120 0.6 0.07
025_mug -0.0062 0.116829 0.0369233 180 0 -120 0.6 0.07
025_mug 0.0038 0.211629 0.0369233 180 0 140 0.6 0.07
025_mug 0.0038 0.120029 0.0369233 180 0 -140 0.6 0.07
025_mug 0.0138 0.205829 0.0369233 180 0 160 0.6 0.07
025_mug 0.0138 0.125829 0.0369233 180 0 -160 0.6 0.07
025_mug 0.0238 0.195829 0.0369233 180 0 170 0.6 0.07
025_mug 0.0238 0.135829 0.0369233 180 0 -170 0.6 0.07
025_mug 0.0338 0.165829 0.0369233 180 0 180 0.6 0.07
025_mug 0.0338 0.165829 0.0369233 180 0 -180 0.6 0.07
044_flat_screwdriver 0.14896 0.0691938 0.0156087 180 0 102.101 0.922 0.04
044_flat_screwdriver 0.151214 0.0695543 0.0156087 180 0 102.101 0.922 0.04
044_flat_screwdriver 0.156745 0.0694799 0.0156087 180 0 102.101 0.922 0.04
044_flat_screwdriver 0.161569 0.0681664 0.0156087 180 0 102.101 0.922 0.04
044_flat_screwdriver 0.165779 0.067642 0.0156087 180 0 102.101 0.922 0.04
044_flat_screwdriver 0.171393 0.0669427 0.0156087 180 0 102.101 0.922 0.04
044_flat_screwdriver 0.174814 0.065804 0.0156087 180 0 102.101 0.922 0.04
044_flat_screwdriver 0.177621 0.0654544 0.0156087 180 0 102.101 0.922 0.04
044_flat_screwdriver 0.181042 0.0643157 0.0156087 180 0 97.1005 0.922 0.04
044_flat_screwdriver 0.183848 0.0639661 0.0156087 180 0 97.1005 0.922 0.04
044_flat_screwdriver 0.189811 0.0660736 0.0156087 180 0 97.1005 0.922 0.04
044_flat_screwdriver 0.192618 0.0657239 0.0156087 180 0 97.1005 0.922 0.04
051_large_clamp 0.0896356 0.202741 0.0183356 180 0 175 0.9322 0.065
