x y z rot.x rot.y rot.z rot.w quality dofValue
0.0976763 0.0328094 0.0170686 0.757278 0.0101757 -0.649234 0.0701617 3.35404 0.235286
-0.102671 0.0326314 -0.0226034 0.193234 0.589399 -0.152334 0.769457 4.8219 0.245013
0.0840057 -0.0057545 0.0178696 0.76149 0.0674578 -0.638849 0.0863416 5.28976 0.244235
-0.0927367 -0.079049 -0.0183455 -0.243352 0.583442 0.202476 0.747916 5.56896 0.251103
-0.0709169 0.0646824 -0.0138368 0.38986 0.526048 -0.27603 0.703626 5.86023 0.250899
0.0450524 0.0462656 0.10093 0.914767 -0.377753 -0.136085 0.0445418 6.40564 0.256475
-0.0645252 -0.0362865 0.0607471 0.0694621 0.876512 0.35771 0.314556 6.73854 0.266814
-0.0964218 -0.10937 -0.0195116 -0.219068 0.59601 0.253781 0.729642 6.9385 0.251959
0.00874455 0.0136627 0.0939717 0.973945 -0.0314819 -0.114675 0.193108 6.99991 0.26732
0.0175549 -0.0132138 0.091198 0.969826 0.0276605 -0.179187 0.162989 7.17649 0.245441
-0.065649 0.0346511 0.0827349 0.157379 0.92826 -0.00824476 0.336893 7.19056 0.286082
-0.0352964 -0.0713596 0.0848919 0.0915995 0.948533 0.292528 0.0795096 7.23593 0.265635
0.0706922 0.110418 0.0583927 0.84077 -0.264033 -0.198929 0.428743 7.28921 0.262825
-0.0343088 0.0945234 0.0816503 0.36508 0.864017 -0.118621 0.32576 7.32051 0.252108
-0.0796148 0.0870645 -0.013423 0.307194 0.580208 -0.246005 0.713072 8.30548 0.277786
0.0746602 0.0205041 0.0627913 0.890244 -0.0866498 -0.438938 0.0853925 8.30647 0.266876
0.0074362 0.0282848 0.10264 0.983274 -0.164676 -0.0496837 0.0598764 8.34723 0.277352
-0.0544002 0.114471 -0.0219953 0.231014 0.570203 -0.293046 0.731865 8.37842 0.263998
