object x y z rx ry rz quality dofValue
011_banana -0.01930661 0.00604764  0.0165316 180 0 25 1.0 0.05
011_banana -0.01630661 0.01204764  0.0165316 180 0 25 1.0 0.05
011_banana -0.01430661 0.01604764  0.0165316 180 0 25 0.8 0.05
011_banana -0.01230661 0.02004764  0.0165316 180 0 25 0.7 0.05
011_banana -0.01030661 0.02404764  0.0165316 180 0 20 0.7 0.05
011_banana -0.02110661 -0.00204764  0.0165316 180 0 15 1.0 0.05
011_banana -0.02230661 -0.00804764  0.0165316 180 0 13 0.8 0.05
011_banana -0.02200661 -0.01204764  0.0165316 180 0 11 0.8 0.05
011_banana -0.02400661 -0.02047640  0.0165316 180 0 9 0.8 0.05
065-h_cups -0.0408 0.0142 0.033923 180 0 0 1.0 0.04
065-h_cups -0.0068 0.0592 0.033923 180 0 90 1.0 0.04
065-h_cups 0.0462 0.0142 0.033923 180 0 180 1.0 0.04
065-h_cups 0.0032 -0.0308 0.033923 180 0 90 1.0 0.04
065-h_cups -0.0328 0.0402 0.033923 180 0 40 1.0 0.04
065-h_cups -0.0268 -0.0208 0.033923 180 0 140 1.0 0.04
065-h_cups 0.0232 0.0500 0.033923 180 0 130 1.0 0.04
065-h_cups 0.0382 -0.0158 0.033923 180 0 40 1.0 0.04
065-h_cups -0.0208 0.0520 0.033923 180 0 60 1.0 0.04
065-h_cups -0.0128 -0.0256 0.033923 180 0 130 1.0 0.04
065-h_cups -0.0368 0.0292 0.033923 180 0 20 1.0 0.04
065-h_cups -0.0368 -0.0058 0.033923 180 0 160 1.0 0.04
065-h_cups -0.0068 -0.0308 0.033923 180 0 100 1.0 0.04
065-h_cups 0.1432 0.0342 0.033923 180 0 150 1.0 0.04
065-h_cups 0.1132 0.0572 0.033923 180 0 110 1.0 0.04
065-h_cups 0.1452 -0.0008 0.033923 180 0 30 1.0 0.04
065-h_cups 0.1282 -0.0216 0.033923 180 0 60 1.0 0.04
065-h_cups 0.1332 0.0442 0.033923 180 0 145 1.0 0.04
065-h_cups 0.1032 0.0602 0.033923 180 0 100 1.0 0.04
065-h_cups 0.1182 -0.0298 0.033923 180 0 80 1.0 0.04
