object x y z rx ry rz quality dofValue
025_mug -0.0662 0.0152 0.0369233 180 0 0 1.0 0.05
025_mug -0.0262 0.0652 0.0369233 180 0 80 1.0 0.05
025_mug -0.0162 -0.0278 0.0369233 180 0 90 1.0 0.05
025_mug 0.0128 -0.0138 0.0369233 180 0 40 1.0 0.05
025_mug 0.0208 0.0442 0.0369233 180 0 140 1.0 0.05
025_mug -0.0632 0.0322 0.0369233 180 0 20 1.0 0.05
025_mug -0.0632 0.001 0.0369233 180 0 160 1.0 0.05
025_mug -0.0562 0.0462 0.0369233 180 0 40 1.0 0.05
025_mug -0.0062 0.0652 0.0369233 180 0 110 1.0 0.05
025_mug -0.0562 -0.0108 0.0369233 180 0 140 1.0 0.05
025_mug -0.0462 0.0562 0.0369233 180 0 60 1.0 0.05
025_mug -0.0262 -0.0278 0.0369233 180 0 100 1.0 0.05
025_mug -0.0362 -0.0256 0.0369233 180 0 120 1.0 0.05
025_mug -0.0362 0.0620 0.0369233 180 0 60 1.0 0.05
025_mug -0.0162 0.0662 0.0369233 180 0 100 1.0 0.05
025_mug -0.0462 -0.0208 0.0369233 180 0 130 1.0 0.05
025_mug -0.0062 -0.0278 0.0369233 180 0 80 1.0 0.05
025_mug 0.0038 0.0620 0.0369233 180 0 120 1.0 0.05
025_mug 0.0038 -0.0256 0.0369233 180 0 60 1.0 0.05
025_mug 0.0128 0.0522 0.0349233 180 0 130 1.0 0.05
