object x y z rx ry rz quality dofValue
044_flat_screwdriver -0.00365917 0.00282799 0.0156087 180 0 140 1.0 0.045
044_flat_screwdriver -0.00165917 0.00172799 0.0156087 180 0 140 1.0 0.045
044_flat_screwdriver 0.00265917 -0.00172799 0.0156087 180 0 140 1.0 0.045
044_flat_screwdriver 0.00565917 -0.00572799 0.0156087 180 0 140 1.0 0.045
044_flat_screwdriver 0.00865917 -0.00872799 0.0156087 180 0 140 1.0 0.045
044_flat_screwdriver 0.01265917 -0.01272799 0.0156087 180 0 140 1.0 0.045
044_flat_screwdriver 0.01465917 -0.01572799 0.0156087 180 0 140 1.0 0.045
044_flat_screwdriver 0.01665917 -0.01772799 0.0156087 180 0 140 0.8 0.045
044_flat_screwdriver 0.01865917 -0.02072799 0.0156087 180 0 135 0.8 0.045
044_flat_screwdriver 0.02065917 -0.02272799 0.0156087 180 0 135 0.8 0.045
044_flat_screwdriver 0.02665917 -0.02472799 0.0156087 180 0 135 0.7 0.045
044_flat_screwdriver 0.02865917 -0.02672799 0.0156087 180 0 135 0.7 0.045
