object x y z rx ry rz quality dofValue
051_large_clamp -0.00330043 -0.0054275 0.0183356 180 0 175 1.0 0.1
051_large_clamp -0.00330043 -0.0024275 0.0183356 180 0 175 0.95 0.1
051_large_clamp -0.00330043 -0.0004275 0.0183356 180 0 175 0.9 0.1
051_large_clamp -0.00200043 -0.0154275 0.0183356 180 0 175 0.8 0.1
051_large_clamp -0.00200043 -0.0104275 0.0183356 180 0 175 0.7 0.1
051_large_clamp -0.00170043 -0.0254275 0.0183356 180 0 175 0.6 0.1
051_large_clamp -0.00170043 -0.0204275 0.0183356 180 0 175 0.5 0.1
051_large_clamp -0.00040043 -0.0354275 0.0183356 180 0 175 0.4 0.1
051_large_clamp -0.00040043 -0.0304275 0.0183356 180 0 175 0.3 0.1
051_large_clamp -0.00000043 -0.0354275 0.0183356 180 0 175 0.2 0.1
