object x y z rx ry rz quality dofValue
061_foam_brick -0.0185352 0.0166024 0.0250215 180 0 0 1.0 0.075
061_foam_brick -0.0185352 0.0176024 0.0250215 180 0 0 1.0 0.075
061_foam_brick -0.0185352 0.0156024 0.0250215 180 0 0 1.0 0.075
061_foam_brick -0.0185352 0.0206024 0.0250215 180 0 0 0.9 0.075
061_foam_brick -0.0185352 0.0116024 0.0250215 180 0 0 0.9 0.075
061_foam_brick -0.0185352 0.0246024 0.0250215 180 0 0 0.85 0.075
061_foam_brick -0.0185352 0.0066024 0.0250215 180 0 0 0.85 0.075
061_foam_brick -0.0185352 0.0286024 0.0250215 180 0 0 0.8 0.075
061_foam_brick -0.0185352 0.0026024 0.0250215 180 0 0 0.8 0.075
061_foam_brick -0.0185352 0.0176024 0.0250215 180 0 90 0.95 0.105
061_foam_brick -0.0225352 0.0176024 0.0250215 180 0 90 0.9 0.105
061_foam_brick -0.0145352 0.0176024 0.0250215 180 0 90 0.9 0.105
