object x y z rx ry rz quality dofValue
065-h_cups -0.0408 0.0142 0.033923 180 0 0 1.0 0.04
065-h_cups -0.0068 0.0592 0.033923 180 0 90 1.0 0.04
065-h_cups 0.0462 0.0142 0.033923 180 0 180 1.0 0.04
065-h_cups 0.0032 -0.0308 0.033923 180 0 90 1.0 0.04
065-h_cups -0.0328 0.0402 0.033923 180 0 40 1.0 0.04
065-h_cups -0.0268 -0.0208 0.033923 180 0 140 1.0 0.04
065-h_cups 0.0232 0.0500 0.033923 180 0 130 1.0 0.04
065-h_cups 0.0382 -0.0158 0.033923 180 0 40 1.0 0.04
065-h_cups -0.0208 0.0520 0.033923 180 0 60 1.0 0.04
065-h_cups -0.0128 -0.0256 0.033923 180 0 130 1.0 0.04
065-h_cups -0.0368 0.0292 0.033923 180 0 20 1.0 0.04
065-h_cups -0.0368 -0.0058 0.033923 180 0 160 1.0 0.04
065-h_cups -0.0068 -0.0308 0.033923 180 0 100 1.0 0.04
065-h_cups 0.0432 0.0342 0.033923 180 0 150 1.0 0.04
065-h_cups 0.0132 0.0572 0.033923 180 0 110 1.0 0.04
065-h_cups 0.0452 -0.0008 0.033923 180 0 30 1.0 0.04
065-h_cups 0.0282 -0.0216 0.033923 180 0 60 1.0 0.04
065-h_cups 0.0332 0.0442 0.033923 180 0 145 1.0 0.04
065-h_cups 0.0032 0.0602 0.033923 180 0 100 1.0 0.04
065-h_cups 0.0182 -0.0298 0.033923 180 0 80 1.0 0.04
