object x y z rx ry rz quality dofValue
008_pudding_box -0.00806239 -0.1324667  0.0200911 180 0 60 0.8 0.11
008_pudding_box -0.00206239 -0.1384667  0.0200911 180 0 60 1.0 0.11
008_pudding_box 0.00206239 -0.1284667  0.0200911 180 0 60 1.0 0.11
008_pudding_box 0.00456239 -0.160667  0.0200911 180 0 60 1.0 0.11
008_pudding_box 0.00756239 -0.120667  0.0200911 180 0 60 1.0 0.11
008_pudding_box 0.01556239 -0.125667  0.0200911 180 0 60 0.8 0.11
008_pudding_box 0.00206239 -0.1184667  0.0200911 180 0 150 1.0 0.13
008_pudding_box 0.00006239 -0.1164667  0.0200911 180 0 150 1.0 0.13
008_pudding_box 0.01306239 -0.1134667  0.0200911 180 0 150 1.0 0.13
008_pudding_box 0.01606239 -0.1134667  0.0170911 180 0 150 0.9 0.13
008_pudding_box -0.03206239 -0.1204667  0.0200911 180 0 150 1.0 0.13
008_pudding_box -0.04406239 -0.1244667  0.0200911 180 0 150 0.9 0.13
011_banana 0.1030661 0.00604764  0.0165316 180 0 25 1.0 0.05
011_banana 0.10630661 0.01204764  0.0165316 180 0 25 1.0 0.05
024_bowl -0.2344 -0.0441 0.0250088 180 0 0 1.0 0.05
024_bowl -0.1544 0.0051 0.0250088 180 0 50 1.0 0.05
024_bowl -0.1344 -0.1433 0.0250088 180 0 70 1.0 0.05
024_bowl -0.1356 -0.0441 0.0250088 180 0 0 1.0 0.05
024_bowl -0.1444 -0.1333 0.0250088 180 0 100 1.0 0.05
024_bowl -0.1744 0.0048 0.0250088 180 0 30 1.0 0.05
024_bowl -0.1944 -0.0630 0.0250088 180 0 150 1.0 0.05
024_bowl -0.1056 0.0048 0.0250088 180 0 140 1.0 0.05
024_bowl -0.1056 -0.0930 0.0250088 180 0 60 1.0 0.05
024_bowl -0.1744 0.0191 0.0250088 180 0 60 1.0 0.05
024_bowl -0.1244 0.0391 0.0250088 180 0 100 1.0 0.05
024_bowl -0.1256 0.0191 0.0250088 180 0 140 1.0 0.05
024_bowl -0.1406 -0.0181 0.0250088 180 0 160 1.0 0.05
024_bowl -0.2094 -0.0700 0.0250088 180 0 160 1.0 0.05
024_bowl -0.1844 -0.1073 0.0250088 180 0 120 1.0 0.05
024_bowl -0.2094 -0.0381 0.0250088 180 0 40 1.0 0.05
024_bowl -0.1256 -0.1073 0.0250088 180 0 60 1.0 0.05
024_bowl -0.1206 -0.0700 0.0250088 180 0 20 1.0 0.05
065-h_cups -0.0648 0.0142 0.033923 180 0 0 1.0 0.04
065-h_cups -0.0098 0.0592 0.033923 180 0 90 1.0 0.04
065-h_cups 0.0432 0.0162 0.033923 180 0 170 1.0 0.04
065-h_cups 0.0062 -0.0308 0.033923 180 0 90 1.0 0.04
065-h_cups -0.0528 0.0432 0.033923 180 0 40 1.0 0.04
065-h_cups -0.0268 -0.0248 0.033923 180 0 140 1.0 0.04
065-h_cups 0.0232 0.0340 0.033923 180 0 180 1.0 0.04
065-h_cups 0.0582 -0.0128 0.033923 180 0 70 1.0 0.04
065-h_cups -0.0208 0.0620 0.033923 180 0 50 1.0 0.04
065-h_cups -0.0128 -0.0356 0.033923 180 0 140 1.0 0.04
065-h_cups -0.0468 0.0252 0.033923 180 0 30 1.0 0.04
065-h_cups -0.0368 -0.0258 0.033923 180 0 120 1.0 0.04
065-h_cups -0.0068 -0.0308 0.033923 180 0 130 1.0 0.04
065-h_cups 0.0532 0.0312 0.033923 180 0 170 1.0 0.04
065-h_cups 0.0132 0.0722 0.033923 180 0 140 1.0 0.04
065-h_cups 0.0452 -0.0208 0.033923 180 0 30 1.0 0.04
065-h_cups 0.0282 -0.0416 0.033923 180 0 20 1.0 0.04
065-h_cups 0.0332 0.0412 0.033923 180 0 175 1.0 0.04
065-h_cups 0.0332 0.0602 0.033923 180 0 120 1.0 0.04
065-h_cups 0.0582 -0.0294 0.033923 180 0 60 1.0 0.04

