object x y z viewpoint angle quality width
011_banana -0.0148907 -0.0136962 0.0165316 0 144 1.0 0.05
011_banana -0.0185869 -0.00809813 0.0165316 0 144 1.0 0.05
011_banana -0.021051 -0.00436608 0.0165316 0 144 0.8 0.05
011_banana -0.0235151 -0.00063403 0.0165316 0 144 0.7 0.05
011_banana -0.0259792 0.00309802 0.0165316 0 139 0.7 0.05
011_banana -0.00877999 -0.0193027 0.0165316 0 134 1.0 0.05
011_banana -0.00418383 -0.0233419 0.0165316 0 132 0.8 0.05
011_banana -0.000569729 -0.0250821 0.0165316 0 130 0.8 0.05
011_banana 0.0057298 -0.0310285 0.0165316 0 128 0.8 0.05
024_bowl 0.0815768 0.0183395 0.0250088 0 119 1.0 0.05
024_bowl 0.0516478 0.104901 0.0250088 0 19 1.0 0.05
024_bowl 0.181506 0.0530215 0.0250088 0 19 1.0 0.05
024_bowl 0.151577 0.139583 0.0250088 0 119 1.0 0.05
024_bowl 0.171506 0.035701 0.0250088 0 39 1.0 0.05
024_bowl 0.0492281 0.0601099 0.0250088 0 149 1.0 0.05
024_bowl 0.133925 0.01121 0.0250088 0 89 1.0 0.05
024_bowl 0.0992281 0.146713 0.0250088 0 79 1.0 0.05
024_bowl 0.183925 0.0978125 0.0250088 0 159 1.0 0.05
024_bowl 0.0468439 0.0845805 0.0250088 0 179 1.0 0.05
024_bowl 0.0668439 0.119221 0.0250088 0 39 1.0 0.05
024_bowl 0.0768439 0.136542 0.0250088 0 59 1.0 0.05
024_bowl 0.12656 0.148253 0.0250088 0 99 1.0 0.05
024_bowl 0.106507 0.00971958 0.0250088 0 99 1.0 0.05
024_bowl 0.15631 0.0213805 0.0250088 0 59 1.0 0.05
024_bowl 0.0615601 0.0356696 0.0250088 0 139 1.0 0.05
024_bowl 0.18631 0.073342 0.0250088 0 179 1.0 0.05
024_bowl 0.171507 0.122303 0.0250088 0 139 1.0 0.05
025_mug -0.0649309 0.165017 0.0369233 0 149 1.0 0.05
025_mug -0.0552899 0.228318 0.0369233 0 49 1.0 0.05
025_mug -0.000129604 0.152777 0.0369233 0 59 1.0 0.05
025_mug 0.0179851 0.179402 0.0369233 0 9 1.0 0.05
025_mug -0.00408668 0.233631 0.0369233 0 109 1.0 0.05
025_mug -0.0708328 0.181239 0.0369233 0 169 1.0 0.05
025_mug -0.0552328 0.154219 0.0369233 0 129 1.0 0.05
025_mug -0.0717706 0.196863 0.0369233 0 9 1.0 0.05
025_mug -0.0379694 0.238318 0.0369233 0 79 1.0 0.05
025_mug -0.0432706 0.1475 0.0369233 0 109 1.0 0.05
025_mug -0.0681104 0.210524 0.0369233 0 29 1.0 0.05
025_mug -0.00878986 0.147777 0.0369233 0 69 1.0 0.05
025_mug -0.0185501 0.144683 0.0369233 0 89 1.0 0.05
025_mug -0.0623501 0.220547 0.0369233 0 29 1.0 0.05
025_mug -0.0471296 0.234184 0.0369233 0 69 1.0 0.05
025_mug -0.0296104 0.14384 0.0369233 0 99 1.0 0.05
025_mug 0.00853065 0.157778 0.0369233 0 49 1.0 0.05
025_mug -0.0277091 0.240547 0.0369233 0 89 1.0 0.05
025_mug 0.0160909 0.164683 0.0369233 0 29 1.0 0.05
025_mug -0.0150149 0.23656 0.0349233 0 99 1.0 0.05
044_flat_screwdriver -0.153133 0.0685731 0.0156087 0 79 1.0 0.045
044_flat_screwdriver -0.15118 0.0697551 0.0156087 0 79 1.0 0.045
044_flat_screwdriver -0.146028 0.0717669 0.0156087 0 79 1.0 0.045
044_flat_screwdriver -0.141064 0.072365 0.0156087 0 79 1.0 0.045
044_flat_screwdriver -0.136966 0.0734631 0.0156087 0 79 1.0 0.045
044_flat_screwdriver -0.131502 0.0749272 0.0156087 0 79 1.0 0.045
044_flat_screwdriver -0.127904 0.0751592 0.0156087 0 79 1.0 0.045
044_flat_screwdriver -0.125172 0.0758913 0.0156087 0 79 0.8 0.045
044_flat_screwdriver -0.121573 0.0761233 0.0156087 0 74 0.8 0.045
044_flat_screwdriver -0.118841 0.0768554 0.0156087 0 74 0.8 0.045
044_flat_screwdriver -0.114109 0.0810515 0.0156087 0 74 0.7 0.045
044_flat_screwdriver -0.111377 0.0817836 0.0156087 0 74 0.7 0.045
051_large_clamp 0.176881 0.223122 0.0183356 0 114 1.0 0.1
051_large_clamp 0.174283 0.224622 0.0183356 0 114 0.95 0.1
051_large_clamp 0.172551 0.225622 0.0183356 0 114 0.9 0.1
051_large_clamp 0.186191 0.219248 0.0183356 0 114 0.8 0.1
051_large_clamp 0.181861 0.221748 0.0183356 0 114 0.7 0.1
051_large_clamp 0.195002 0.214508 0.0183356 0 114 0.6 0.1
051_large_clamp 0.190672 0.217008 0.0183356 0 114 0.5 0.1
051_large_clamp 0.204312 0.210633 0.0183356 0 114 0.4 0.1
051_large_clamp 0.199982 0.213133 0.0183356 0 114 0.3 0.1
051_large_clamp 0.204512 0.21098 0.0183356 0 114 0.2 0.1
